,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
5326,tt0005392,movie,A Girl of Yesterday,A Girl of Yesterday,0,1915,\N,\N,Comedy
5851,tt0005922,movie,The Pretty Sister of Jose,The Pretty Sister of Jose,0,1915,\N,50,"Drama,Romance"
6085,tt0006160,movie,Tillie's Tomato Surprise,Tillie's Tomato Surprise,0,1915,\N,\N,Comedy
6557,tt0006638,movie,The Eternal Sappho,The Eternal Sappho,0,1916,\N,50,Drama
7521,tt0007623,movie,Alimony,Alimony,0,1917,\N,\N,Drama
7920,tt0008028,movie,The Gray Ghost,The Gray Ghost,0,1917,\N,\N,"Action,Crime,Drama"
8266,tt0008381,movie,On Dangerous Ground,On Dangerous Ground,0,1917,\N,\N,"Drama,War"
8408,tt0008526,movie,Runaway Romany,Runaway Romany,0,1917,\N,\N,"Drama,Romance"
8816,tt0008939,movie,The Burden of Proof,The Burden of Proof,0,1918,\N,\N,\N
8831,tt0008955,movie,Cecilia of the Pink Roses,Cecilia of the Pink Roses,0,1918,\N,\N,Drama
8991,tt0009116,movie,The Glorious Adventure,The Glorious Adventure,0,1918,\N,\N,Drama
9082,tt0009208,movie,"How Could You, Jean?","How Could You, Jean?",0,1918,\N,50,"Comedy,Drama"
9716,tt0009851,movie,Masked Ball,Álarcosbál,0,1917,\N,\N,\N
9872,tt0010008,movie,The Cinema Murder,The Cinema Murder,0,1919,\N,60,Drama
10186,tt0010323,movie,The Cabinet of Dr. Caligari,Das Cabinet des Dr. Caligari,0,1920,\N,76,"Fantasy,Horror,Mystery"
10756,tt0010905,movie,The Witness for the Defense,The Witness for the Defense,0,1919,\N,50,Drama
12126,tt0012297,movie,Hunger... Hunger... Hunger,Golod... golod... golod,0,1921,\N,\N,Documentary
12177,tt0012349,movie,The Kid,The Kid,0,1921,\N,68,"Comedy,Drama,Family"
12191,tt0012364,movie,The Phantom Carriage,Körkarlen,0,1921,\N,107,"Drama,Fantasy,Horror"
12689,tt0012872,movie,Zirkus des Lebens,Zirkus des Lebens,0,1921,\N,\N,Drama
